Timestamp,num_ues,IMSI,RNTI,,slicing_enabled,slice_id,slice_prb,power_multiplier,scheduling_policy,,dl_mcs,dl_n_samples,dl_buffer [bytes],tx_brate downlink [Mbps],tx_pkts downlink,tx_errors downlink (%),dl_cqi,,ul_mcs,ul_n_samples,ul_buffer [bytes],rx_brate uplink [Mbps],rx_pkts uplink,rx_errors uplink (%),ul_rssi,ul_sinr,phr,,sum_requested_prbs,sum_granted_prbs,,dl_pmi,dl_ri,ul_n,ul_turbo_iters
1669221226516,1,1010123456002,70,,1,1,18,1,1,,2.88889,18,0,0.003936,5,0,5,,11.381,21,0,0.1,6,0,0,35.2027,31,,1,18,,0,0,0,1
1669221226766,1,1010123456002,70,,1,1,18,1,1,,1.63636,22,0,0.005696,6,0,5,,11.5714,28,0,0.1,8,0,0,35.8456,31,,0,24,,0,0,0,1
1669221227016,1,1010123456002,70,,1,1,18,1,1,,5,4,0,0.002016,1,0,5.16667,,11,7,0,0.1,2,0,0,35.852,31,,0,6,,0,0,0,1
1669221227266,1,1010123456002,70,,1,1,18,1,1,,0,0,0,0,0,0,5,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1669221227516,1,1010123456002,70,,1,1,18,1,1,,0,0,0,0,0,0,5.14286,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1669221227766,1,1010123456002,70,,1,1,18,1,1,,0,0,0,0,0,0,5,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1669221228016,1,1010123456002,70,,1,1,18,1,1,,0,0,0,0,0,0,5,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1669221228266,1,1010123456002,70,,1,1,18,1,1,,0,0,0,0,0,0,5,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1669221228516,1,1010123456002,70,,1,1,18,1,1,,0,0,0,0,0,0,5.14286,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1669221228766,1,1010123456002,70,,1,1,18,1,1,,6.18919,37,14006,0.014304,5,0,5,,13.8421,38,0,0.122208,11,0,0,34.7309,31,,0,114,,0,0,0,1
1669221229016,1,1010123456002,70,,1,1,18,1,1,,6.73364,871,37639,2.09411,247,0,5,,12.6136,88,0,0.118176,25,0,0,35.8201,31,,11150,4500,,0,0,0,1
1669221229266,1,1010123456002,70,,1,1,18,1,1,,7.25829,875,33188,2.2215,250,0,5.16667,,12.5385,91,0,0.114624,26,0,0,35.9057,31,,12500,4500,,0,0,0,1
1669221229516,1,1010123456002,70,,1,1,18,1,1,,7.52571,875,38734,2.32902,250,0,5.28571,,13.1667,66,0,0.141024,19,0,0,35.5939,31,,12500,4500,,0,0,0,1
1669221229766,1,1010123456002,70,,1,1,18,1,1,,9.35836,879,45994,2.73146,250,0,5.66667,,12.5632,87,0,0.116128,25,0,0,36.0514,31,,12500,4500,,0,0,0,1
1669221230016,1,1010123456002,70,,1,1,18,1,1,,8.69143,875,40232,2.58272,250,0,5.5,,13.8571,112,0,0.715296,32,0,0,33.3266,31,,12500,4500,,0,0,0,1
1669221230266,1,1010123456002,70,,1,1,18,1,1,,7.56686,875,36625,2.35027,250,0,5.16667,,12.7449,98,0,0.12416,28,0,0,35.1823,31,,12500,4500,,0,0,0,1
1669221230516,1,1010123456002,70,,1,1,18,1,1,,6.72914,875,1843,2.12486,250,0,5,,12.1837,98,0,0.108288,28,0,0,35.4106,31,,12355,4500,,0,0,0,1
1669221230766,1,1010123456002,70,,1,1,18,1,1,,6.85714,28,0,0.128384,16,0,5,,14.6667,42,0,0.548416,12,0,0,30.2755,0,,90,126,,0,0,0,1
1669221231016,1,1010123456002,70,,1,1,18,1,1,,0,0,0,0,0,0,5,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1669221231266,1,1010123456002,70,,1,1,18,1,1,,0,0,0,0,0,0,5,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1669221231516,1,1010123456002,70,,1,1,18,1,1,,0,0,0,0,0,0,5.14286,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1669221231766,1,1010123456002,70,,1,1,18,1,1,,0,0,0,0,0,0,5.16667,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1669221232016,1,1010123456002,70,,1,1,18,1,1,,0,0,0,0,0,0,5.5,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1669221232266,1,1010123456002,70,,1,1,18,1,1,,0,0,0,0,0,0,5.5,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
