Timestamp,num_ues,IMSI,RNTI,,slicing_enabled,slice_id,slice_prb,power_multiplier,scheduling_policy,,dl_mcs,dl_n_samples,dl_buffer [bytes],tx_brate downlink [Mbps],tx_pkts downlink,tx_errors downlink (%),dl_cqi,,ul_mcs,ul_n_samples,ul_buffer [bytes],rx_brate uplink [Mbps],rx_pkts uplink,rx_errors uplink (%),ul_rssi,ul_sinr,phr,,sum_requested_prbs,sum_granted_prbs,,dl_pmi,dl_ri,ul_n,ul_turbo_iters
1669217617945,1,1010123456002,70,,1,1,18,1,1,,2.32,25,0,0.003936,5,0,9,,11.8333,24,0,0.1,7,0,0,34.9376,31,,1,24,,0,0,0,1
1669217618195,1,1010123456002,70,,1,1,18,1,1,,4,12,0,0.005472,5,0,9,,11.16,25,0,0.1,7,0,0,35.3102,31,,0,12,,0,0,0,1
1669217618445,1,1010123456002,70,,1,1,18,1,1,,0,3,0,0.001824,1,0,8.83333,,11,7,0,0.1,2,0,0,35.4148,31,,0,3,,0,0,0,1
1669217618695,1,1010123456002,70,,1,1,18,1,1,,0,0,0,0,0,0,9,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1669217618945,1,1010123456002,70,,1,1,18,1,1,,0,0,0,0,0,0,9,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1669217619195,1,1010123456002,70,,1,1,18,1,1,,0,0,0,0,0,0,9,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1669217619445,1,1010123456002,70,,1,1,18,1,1,,0,0,0,0,0,0,8.83333,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1669217619695,1,1010123456002,70,,1,1,18,1,1,,0,0,0,0,0,0,8.85714,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1669217619945,1,1010123456002,70,,1,1,18,1,1,,0,0,0,0,0,0,8.5,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1669217620195,1,1010123456002,70,,1,1,18,1,1,,10.6364,11,0,0.008096,3,0,8.5,,13.6667,21,0,0.1,6,0,0,34.5446,31,,0,12,,0,0,0,1
1669217620445,1,1010123456002,70,,1,1,18,1,1,,13.8223,546,23834,2.64173,148,0,8,,14.6444,90,0,0.767136,26,0,0,32.6599,31,,5853,2766,,0,0,0,1
1669217620695,1,1010123456002,70,,1,1,18,1,1,,13.8857,875,14085,4.5392,250,0,8,,13.2857,98,0,0.174208,28,0,0,35.4156,31,,12500,4500,,0,0,0,1
1669217620945,1,1010123456002,70,,1,1,18,1,1,,13.8579,760,9582,3.93309,217,0,8,,14.0577,104,0,0.706624,30,0,0,33.64,31,,10631,3906,,0,0,0,1
1669217621195,1,1010123456002,70,,1,1,18,1,1,,13.8857,875,3798,4.50848,250,0,8,,13.1277,94,0,0.149728,27,0,0,35.3554,31,,11514,4470,,0,0,0,1
