Timestamp,num_ues,IMSI,RNTI,,slicing_enabled,slice_id,slice_prb,power_multiplier,scheduling_policy,,dl_mcs,dl_n_samples,dl_buffer [bytes],tx_brate downlink [Mbps],tx_pkts downlink,tx_errors downlink (%),dl_cqi,,ul_mcs,ul_n_samples,ul_buffer [bytes],rx_brate uplink [Mbps],rx_pkts uplink,rx_errors uplink (%),ul_rssi,ul_sinr,phr,,sum_requested_prbs,sum_granted_prbs,,dl_pmi,dl_ri,ul_n,ul_turbo_iters
1700180666347,1,1010123456002,80,,1,0,50,1,1,,0,0,0,0,0,0,9,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1700180666597,1,1010123456002,80,,1,0,50,1,1,,0,0,0,0,0,0,9,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1700180666847,1,1010123456002,80,,1,0,50,1,1,,0,0,0,0,0,0,9,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1700180667097,1,1010123456002,80,,1,0,50,1,1,,0,0,0,0,0,0,8.83333,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1700180667347,1,1010123456002,80,,1,0,50,1,1,,0,0,0,0,0,0,9,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1700180667597,1,1010123456002,80,,1,0,50,1,1,,0,0,0,0,0,0,9,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1700180667847,1,1010123456002,80,,1,0,50,1,1,,0,0,0,0,0,0,8.85714,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1700180668097,1,1010123456002,80,,1,0,50,1,1,,0,0,0,0,0,0,9,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1700180668347,1,1010123456002,80,,1,0,50,1,1,,0,0,0,0,0,0,9,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1700180668597,1,1010123456002,80,,1,0,50,1,1,,0,0,0,0,0,0,9,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1700180668847,1,1010123456002,80,,1,0,50,1,1,,0,0,0,0,0,0,8.85714,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1700180669097,1,1010123456002,80,,1,0,50,1,1,,0,0,0,0,0,0,9,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1700180669347,1,1010123456002,80,,1,0,50,1,1,,0,0,0,0,0,0,9,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1700180669597,1,1010123456002,80,,1,0,50,1,1,,0,0,0,0,0,0,8.83333,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1700180669847,1,1010123456002,80,,1,0,50,1,1,,0,0,0,0,0,0,9,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1700180670097,1,1010123456002,80,,1,0,50,1,1,,0,0,0,0,0,0,9,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1700180670347,1,1010123456002,80,,1,0,50,1,1,,0,0,0,0,0,0,9,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1700180670597,1,1010123456002,80,,1,0,50,1,1,,0,0,0,0,0,0,9,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1700180670847,1,1010123456002,80,,1,0,50,1,1,,0,0,0,0,0,0,8.71429,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1700180671097,1,1010123456002,80,,1,0,50,1,1,,0,0,0,0,0,0,9,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1700180671347,1,1010123456002,80,,1,0,50,1,1,,0,0,0,0,0,0,9,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1700180671597,1,1010123456002,80,,1,0,50,1,1,,0,0,0,0,0,0,9,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1700180671847,1,1010123456002,80,,1,0,50,1,1,,0,0,0,0,0,0,9,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1700180672097,1,1010123456002,80,,1,0,50,1,1,,0,0,0,0,0,0,9,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1700180672347,1,1010123456002,80,,1,0,50,1,1,,0,0,0,0,0,0,9,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1700180672597,1,1010123456002,80,,1,0,50,1,1,,0,0,0,0,0,0,9,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1700180672847,1,1010123456002,80,,1,0,50,1,1,,0,0,0,0,0,0,9,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1700180673097,1,1010123456002,80,,1,0,50,1,1,,0,0,0,0,0,0,9,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1700180673347,1,1010123456002,80,,1,0,50,1,1,,0,0,0,0,0,0,9,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1700180673597,1,1010123456002,80,,1,0,50,1,1,,0,0,0,0,0,0,9,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1700180673847,1,1010123456002,80,,1,0,50,1,1,,0,0,0,0,0,0,9,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1700180674097,1,1010123456002,80,,1,0,50,1,1,,0,0,0,0,0,0,9,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1700180674347,1,1010123456002,80,,1,0,50,1,1,,0,0,0,0,0,0,9,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1700180674597,1,1010123456002,80,,1,0,50,1,1,,0,0,0,0,0,0,9,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1700180674847,1,1010123456002,80,,1,0,50,1,1,,0,0,0,0,0,0,9,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1700180675097,1,1010123456002,80,,1,0,50,1,1,,0,0,0,0,0,0,9,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1700180675347,1,1010123456002,80,,1,0,50,1,1,,0,0,0,0,0,0,9,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1700180675597,1,1010123456002,80,,1,0,50,1,1,,0,0,0,0,0,0,8.83333,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1700180675847,1,1010123456002,80,,1,0,50,1,1,,0,0,0,0,0,0,9,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1700180676097,1,1010123456002,80,,1,0,50,1,1,,0,0,0,0,0,0,9,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1700180676347,1,1010123456002,80,,1,0,50,1,1,,0,0,0,0,0,0,9,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1700180676597,1,1010123456002,80,,1,0,50,1,1,,0,0,0,0,0,0,9,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1700180676847,1,1010123456002,80,,1,0,50,1,1,,0,0,0,0,0,0,9,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1700180677097,1,1010123456002,80,,1,0,50,1,1,,0,0,0,0,0,0,9,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1700180677347,1,1010123456002,80,,1,0,50,1,1,,0,0,0,0,0,0,9,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1700180677597,1,1010123456002,80,,1,0,50,1,1,,3,4,0,0.011424,1,0,8.83333,,13.2857,7,0,0.1,2,0,0,37.248,31,,4,50,,0,0,0,1
1700180677847,1,1010123456002,80,,1,0,50,1,1,,12.3481,135,63,0.995072,37,0,9,,15.725,160,376,2.38429,47,0,0,32.0219,31,,548,1166,,0,0,0,1
1700180678097,1,1010123456002,80,,1,0,50,1,1,,11.3333,21,0,0.102944,7,0,9,,12.8182,11,0,0.1,3,0,0,35.8995,31,,43,112,,0,0,0,1
1700180678347,1,1010123456002,80,,1,0,50,1,1,,12,10,0,0.004672,2,0,8.83333,,15.4231,52,0,0.7504,15,0,0,32.4356,31,,9,9,,0,0,0,1
1700180678597,1,1010123456002,80,,1,0,50,1,1,,14,18,0,0.0789719,6,0,9,,14.4286,7,0,0.1,2,0,0,36.8648,31,,38,62,,0,0,0,1
1700180678847,1,1010123456002,80,,1,0,50,1,1,,0,0,0,0,0,0,9,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1700180679097,1,1010123456002,80,,1,0,50,1,1,,0,0,0,0,0,0,9,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1700180679347,1,1010123456002,80,,1,0,50,1,1,,16.913,184,0,2.95005,52,0,9,,15.4222,90,0,1.20448,26,0,0,32.766,31,,2209,2597,,0,0,0,1
1700180679597,1,1010123456002,80,,1,0,50,1,1,,12,8,0,0.004672,2,0,9,,15.6207,87,0,1.28262,25,0,0,32.2781,31,,6,6,,0,0,0,1
1700180679847,1,1010123456002,80,,1,0,50,1,1,,16.0691,376,0,5.25325,106,0,9,,15.3025,119,1817,1.52678,35,0,0,32.8683,31,,3330,4795,,0,0,0,1
1700180680097,1,1010123456002,80,,1,0,50,1,1,,0,0,0,0,0,0,9,,15.3878,49,0,0.652128,14,0,0,32.6348,31,,0,0,,0,0,0,1
1700180680347,1,1010123456002,80,,1,0,50,1,1,,14.3889,18,0,0.179872,5,0,9,,14.8269,52,0,0.630496,15,0,0,33.4044,31,,113,168,,0,0,0,1
1700180680597,1,1010123456002,80,,1,0,50,1,1,,14.9375,32,0,0.317632,7,0,9,,15.5169,89,0,1.27722,26,0,0,32.3619,31,,229,354,,0,0,0,1
1700180680847,1,1010123456002,80,,1,0,50,1,1,,14.9683,63,0,0.608224,20,0,9,,15.375,40,234,0.45216,12,0,0,33.2155,31,,420,460,,0,0,0,1
1700180681097,1,1010123456002,80,,1,0,50,1,1,,10.075,40,0,0.18544,9,0,8.83333,,14.5556,18,0,0.1,5,0,0,35.9901,31,,99,401,,0,0,0,1
1700180681347,1,1010123456002,80,,1,0,50,1,1,,0,0,0,0.004224,2,0,9,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1700180681597,1,1010123456002,80,,1,0,50,1,1,,0,0,0,0,0,0,9,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1700180681847,1,1010123456002,80,,1,0,50,1,1,,0,0,0,0,0,0,9,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1700180682097,1,1010123456002,80,,1,0,50,1,1,,0,0,0,0,0,0,8.66667,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1700180682347,1,1010123456002,80,,1,0,50,1,1,,0,0,0,0,0,0,8.83333,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1700180682597,1,1010123456002,80,,1,0,50,1,1,,0,0,0,0,0,0,9,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1700180682847,1,1010123456002,80,,1,0,50,1,1,,12,14,0,0.009344,4,0,9,,15.48,75,78,1.04179,22,0,0,32.6608,31,,12,12,,0,0,0,1
1700180683097,1,1010123456002,80,,1,0,50,1,1,,11.6923,26,0,0.0925622,8,0,8.83333,,13.24,25,148092,0.1,7,0,0,35.355,31,,44,118,,0,0,0,1
1700180683347,1,1010123456002,80,,1,0,50,1,1,,12.5667,60,0,0.287104,15,0,9,,15.5221,113,0,1.62944,33,0,0,32.2671,31,,202,399,,0,0,0,1
1700180683597,1,1010123456002,80,,1,0,50,1,1,,12.1333,30,0,0.130752,10,0,9,,15.6393,61,0,0.805056,18,0,0,32.4791,31,,52,139,,0,0,0,1
1700180683847,1,1010123456002,80,,1,0,50,1,1,,13.119,42,0,0.279072,10,0,9,,15,16,3413,0.139584,5,0,0,33.7137,31,,154,272,,0,0,0,1
1700180684097,1,1010123456002,80,,1,0,50,1,1,,14.6739,46,0,0.151008,13,0,9,,14.9072,97,0,1.30778,28,0,0,32.8477,31,,161,395,,0,0,0,1
1700180684347,1,1010123456002,80,,1,0,50,1,1,,15.2643,333,0,4.31731,91,0,9,,14.6186,97,0,0.845504,28,0,0,34.1608,31,,2854,4163,,0,0,0,1
1700180684597,1,1010123456002,80,,1,0,50,1,1,,15.2652,264,0,3.73402,78,0,9,,14.6747,83,0,0.768672,24,0,0,33.9998,31,,2081,3471,,0,0,0,1
