Timestamp,num_ues,IMSI,RNTI,,slicing_enabled,slice_id,slice_prb,power_multiplier,scheduling_policy,,dl_mcs,dl_n_samples,dl_buffer [bytes],tx_brate downlink [Mbps],tx_pkts downlink,tx_errors downlink (%),dl_cqi,,ul_mcs,ul_n_samples,ul_buffer [bytes],rx_brate uplink [Mbps],rx_pkts uplink,rx_errors uplink (%),ul_rssi,ul_sinr,phr,,sum_requested_prbs,sum_granted_prbs,,dl_pmi,dl_ri,ul_n,ul_turbo_iters
1669219023499,1,1010123456002,70,,1,1,18,1,1,,3.09091,33,0,0.009056,9,0,8,,11.381,42,0,0.112928,12,0,0,35.4937,31,,1,33,,0,0,0,1
1669219023749,1,1010123456002,70,,1,1,18,1,1,,4.42857,7,0,0.002176,2,0,8,,11.5714,14,0,0.1,4,0,0,36.1361,31,,0,6,,0,0,0,1
1669219023999,1,1010123456002,70,,1,1,18,1,1,,0,0,0,0,0,0,8.16667,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1669219024249,1,1010123456002,70,,1,1,18,1,1,,0,0,0,0,0,0,8,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1669219024499,1,1010123456002,70,,1,1,18,1,1,,0,0,0,0,0,0,8,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1669219024749,1,1010123456002,70,,1,1,18,1,1,,0,0,0,0,0,0,8,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1669219024999,1,1010123456002,70,,1,1,18,1,1,,0,0,0,0,0,0,8,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1669219025249,1,1010123456002,70,,1,1,18,1,1,,0,0,0,0,0,0,8.33333,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1669219025499,1,1010123456002,70,,1,1,18,1,1,,0,0,0,0,0,0,8,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1669219025749,1,1010123456002,70,,1,1,18,1,1,,0,0,0,0,0,0,8.33333,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1669219025999,1,1010123456002,70,,1,1,18,1,1,,10.25,16,0,0.01184,4,0,8.33333,,13.8571,28,0,0.1,8,0,0,34.2172,31,,0,18,,0,0,0,1
1669219026249,1,1010123456002,70,,1,1,18,1,1,,14.8532,681,37516,3.65027,187,0,8.33333,,14.2895,114,0,0.767424,33,0,0,33.1165,31,,8050,3480,,0,0,0,1
1669219026499,1,1010123456002,70,,1,1,18,1,1,,16.136,875,46769,5.37478,250,0,8.42857,,12.8776,98,67,0.133504,28,0,0,35.2464,31,,12500,4500,,0,0,0,1
1669219026749,1,1010123456002,70,,1,1,18,1,1,,15.296,875,47423,4.96973,250,0,8.33333,,12.6596,94,0,0.11504,27,0,0,35.6684,31,,12500,4500,,0,0,0,1
1669219026999,1,1010123456002,70,,1,1,18,1,1,,15.9154,875,62268,5.34669,250,0,8.33333,,12.7959,98,0,0.129664,28,0,0,35.6211,31,,12500,4500,,0,0,0,1
1669219027249,1,1010123456002,70,,1,1,18,1,1,,13.9143,875,66051,4.5392,250,0,8,,12.4286,98,0,0.110848,28,0,0,35.3566,31,,12500,4500,,0,0,0,1
