Timestamp,dl_mcs,dl_n_samples,dl_buffer [bytes],tx_brate downlink [Mbps],tx_pkts downlink,tx_errors downlink (%),dl_cqi,ul_mcs,ul_n_samples,ul_buffer [bytes],rx_brate uplink [Mbps],rx_pkts uplink,rx_errors uplink (%),ul_sinr,phr,sum_requested_prbs,sum_granted_prbs,ul_turbo_iters
1.66922E+12,0,3,0,0.00102811,1,0,0.1,0,3,0,0.1,1,0,0,0,0,3,0
1.66922E+12,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0
1.66922E+12,3.30435,23,0,0.002912,5,0,6,11.129,31,0,0.1,9,0,28.9441,31,0,18,1
1.66922E+12,0,0,0,0.001568,1,0,6.16667,12,4,0,0.1,1,0,31.7282,0,0,0,1
1.66922E+12,8,4,0,0.001568,1,0,6,13.2857,7,0,0.1,2,0,30.7244,31,0,3,1
1.66922E+12,8,4,0,0.001568,1,0,7.33333,13.2857,7,0,0.1,2,0,31.4244,31,0,3,1
1.66922E+12,0,0,0,0,0,0,7.5,0,0,0,0,0,0,0,0,0,0,0
1.66922E+12,9,4,0,0.003744,1,0,7.71429,12.1429,7,0,0.1,2,0,31.2888,31,0,6,1
1.66922E+12,10.0625,32,0,0.030592,8,0,7.66667,14.4068,59,0,0.551328,17,0,27.4916,31,0,48,1
1.66922E+12,9.68966,87,87,0.096928,25,0,7.66667,15.2049,122,0,1.48365,35,0,26.1379,31,0,138,1
1.66922E+12,10.7905,148,0,0.249088,44,0,7.66667,14.8861,79,0,0.82656,23,0,26.8861,31,173,309,1
1.66922E+12,12.36,25,0,0.03792,7,0,8,12.8519,27,0,0.1,8,0,31.4755,31,24,51,1
1.66922E+12,12.4952,105,0,0.330688,30,0,7.83333,14.9077,65,0,0.727296,19,0,26.8445,31,399,366,1
1.66922E+12,0,0,0,0,0,0,7.83333,0,0,0,0,0,0,0,0,0,0,0
1.66922E+12,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
1.66922E+12,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
1.66922E+12,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
1.66922E+12,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
1.66922E+12,0,0,0,0,0,0,8.16667,0,0,0,0,0,0,0,0,0,0,0
1.66922E+12,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
1.66922E+12,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
1.66922E+12,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
1.66922E+12,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
1.66922E+12,0,0,0,0,0,0,8,13.8571,7,0,0.1,2,0,32.3211,31,0,0,1
1.66922E+12,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
1.66922E+12,10.7143,49,0,0.12608,14,0,8,15.6966,89,0,1.29594,26,0,26.4128,31,104,150,1
1.66922E+12,12,4,0,0.002336,1,0,8,0,0,0,0,0,0,0,0,3,3,0
1.66922E+12,0,0,0,0,0,0,7.71429,12.1429,7,0,0.1,2,0,32.6355,31,0,0,1
1.66922E+12,0,0,0,0,0,0,7.5,0,0,0,0,0,0,0,0,0,0,0
1.66922E+12,10.3056,36,0,0.020032,10,0,7.33333,15.2,55,0,0.65184,16,0,27.5133,31,30,30,1
