Timestamp,dl_mcs,dl_n_samples,dl_buffer [bytes],tx_brate downlink [Mbps],tx_pkts downlink,tx_errors downlink (%),dl_cqi,ul_mcs,ul_n_samples,ul_buffer [bytes],rx_brate uplink [Mbps],rx_pkts uplink,rx_errors uplink (%),ul_sinr,phr,sum_requested_prbs,sum_granted_prbs,ul_turbo_iters
1669219146570,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
1669219146820,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
1669219147070,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
1669219147320,0,0,0,0,0,0,6.14286,0,0,0,0,0,0,0,0,0,0,0
1669219147570,0,0,0,0,0,0,6.66667,0,0,0,0,0,0,0,0,0,0,0
1669219147820,0,0,0,0,0,0,6.66667,0,0,0,0,0,0,0,0,0,0,0
1669219148070,0,0,0,0,0,0,6.16667,0,0,0,0,0,0,0,0,0,0,0
1669219148320,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
1669219148570,0,0,0,0,0,0,6.66667,0,0,0,0,0,0,0,0,0,0,0
1669219148820,0,0,0,0,0,0,6.83333,0,0,0,0,0,0,0,0,0,0,0
1669219149070,0,0,0,0,0,0,6.66667,0,0,0,0,0,0,0,0,0,0,0
1669219149320,0,0,0,0,0,0,6.85714,0,0,0,0,0,0,0,0,0,0,0
1669219149570,0,0,0,0,0,0,6.5,0,0,0,0,0,0,0,0,0,0,0
1669219149820,0,0,0,0,0,0,6.16667,0,0,0,0,0,0,0,0,0,0,0
1669219150070,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
1669219150320,0,0,0,0,0,0,6.28571,0,0,0,0,0,0,0,0,0,0,0
1669219150570,0,0,0,0,0,0,6.16667,0,0,0,0,0,0,0,0,0,0,0
1669219150820,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
1669219151070,8,4,0,0.001568,1,0,6,13.2857,7,0,0.1,2,0,31.0485,31,3,3,1
1669219151320,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
1669219151570,0,0,0,0,0,0,6.16667,0,0,0,0,0,0,0,0,0,0,0
1669219151820,0,0,0,0,0,0,6.33333,0,0,0,0,0,0,0,0,0,0,0
1669219152070,0,0,0,0,0,0,6.33333,0,0,0,0,0,0,0,0,0,0,0
1669219152320,0,0,0,0,0,0,6.85714,0,0,0,0,0,0,0,0,0,0,0
1669219152570,0,0,0,0,0,0,6.83333,0,0,0,0,0,0,0,0,0,0,0
1669219152820,0,0,0,0,0,0,6.66667,0,0,0,0,0,0,0,0,0,0,0
1669219153070,0,0,0,0,0,0,6.33333,0,0,0,0,0,0,0,0,0,0,0
1669219153320,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
1669219153570,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
1669219153820,0,0,0,0,0,0,6.16667,0,0,0,0,0,0,0,0,0,0,0
1669219154070,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
1669219154320,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
1669219154570,0,0,0,0,0,0,6.83333,0,0,0,0,0,0,0,0,0,0,0
1669219154820,0,0,0,0,0,0,6.66667,0,0,0,0,0,0,0,0,0,0,0
1669219155070,0,0,0,0,0,0,6.83333,0,0,0,0,0,0,0,0,0,0,0
1669219155320,0,0,0,0,0,0,6.85714,0,0,0,0,0,0,0,0,0,0,0
1669219155570,0,0,0,0,0,0,6.66667,0,0,0,0,0,0,0,0,0,0,0
1669219155820,0,0,0,0,0,0,6.66667,0,0,0,0,0,0,0,0,0,0,0
1669219156070,0,0,0,0,0,0,6.33333,0,0,0,0,0,0,0,0,0,0,0
1669219156320,8,4,0,0.001568,1,0,6.14286,13.2857,7,0,0.1,2,0,32.7113,31,3,3,1
1669219156570,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
1669219156820,0,0,0,0,0,0,6.33333,0,0,0,0,0,0,0,0,0,0,0
1669219157070,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
1669219157320,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
1669219157570,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
1669219157820,0,0,0,0,0,0,5.83333,0,0,0,0,0,0,0,0,0,0,0
1669219158070,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
1669219158320,0,0,0,0,0,0,5.85714,0,0,0,0,0,0,0,0,0,0,0
