Timestamp,num_ues,IMSI,RNTI,,slicing_enabled,slice_id,slice_prb,power_multiplier,scheduling_policy,,dl_mcs,dl_n_samples,dl_buffer [bytes],tx_brate downlink [Mbps],tx_pkts downlink,tx_errors downlink (%),dl_cqi,,ul_mcs,ul_n_samples,ul_buffer [bytes],rx_brate uplink [Mbps],rx_pkts uplink,rx_errors uplink (%),ul_rssi,ul_sinr,phr,,sum_requested_prbs,sum_granted_prbs,,dl_pmi,dl_ri,ul_n,ul_turbo_iters
1700175529847,1,1010123456002,79,,1,0,50,1,1,,0,0,0,0,0,0,9,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1700175530097,1,1010123456002,79,,1,0,50,1,1,,0,0,0,0,0,0,9,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1700175530347,1,1010123456002,79,,1,0,50,1,1,,0,0,0,0,0,0,9,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1700175530597,1,1010123456002,79,,1,0,50,1,1,,0,0,0,0,0,0,9,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1700175530847,1,1010123456002,79,,1,0,50,1,1,,0,0,0,0,0,0,9,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1700175531098,1,1010123456002,79,,1,0,50,1,1,,0,0,0,0,0,0,9,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1700175531348,1,1010123456002,79,,1,0,50,1,1,,0,0,0,0,0,0,8.85714,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1700175531597,1,1010123456002,79,,1,0,50,1,1,,0,0,0,0,0,0,8.83333,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1700175531848,1,1010123456002,79,,1,0,50,1,1,,0,0,0,0,0,0,9,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1700175532097,1,1010123456002,79,,1,0,50,1,1,,0,0,0,0,0,0,9,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1700175532347,1,1010123456002,79,,1,0,50,1,1,,0,0,0,0,0,0,9,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1700175532597,1,1010123456002,79,,1,0,50,1,1,,0,0,0,0,0,0,9,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1700175532847,1,1010123456002,79,,1,0,50,1,1,,0,0,0,0,0,0,9,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1700175533097,1,1010123456002,79,,1,0,50,1,1,,0,0,0,0,0,0,9,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1700175533348,1,1010123456002,79,,1,0,50,1,1,,0,0,0,0,0,0,9,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1700175533597,1,1010123456002,79,,1,0,50,1,1,,0,0,0,0,0,0,9,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1700175533847,1,1010123456002,79,,1,0,50,1,1,,0,0,0,0,0,0,9,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1700175534097,1,1010123456002,79,,1,0,50,1,1,,0,0,0,0,0,0,9,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1700175534347,1,1010123456002,79,,1,0,50,1,1,,0,0,0,0,0,0,9,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1700175534598,1,1010123456002,79,,1,0,50,1,1,,0,0,0,0,0,0,9,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1700175534847,1,1010123456002,79,,1,0,50,1,1,,0,0,0,0,0,0,9,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1700175535097,1,1010123456002,79,,1,0,50,1,1,,0,0,0,0,0,0,9,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1700175535347,1,1010123456002,79,,1,0,50,1,1,,0,0,0,0,0,0,9,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1700175535597,1,1010123456002,79,,1,0,50,1,1,,0,0,0,0,0,0,9,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1700175535847,1,1010123456002,79,,1,0,50,1,1,,0,0,0,0,0,0,9,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1700175536097,1,1010123456002,79,,1,0,50,1,1,,0,0,0,0,0,0,9,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1700175536347,1,1010123456002,79,,1,0,50,1,1,,0,0,0,0,0,0,9,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1700175536597,1,1010123456002,79,,1,0,50,1,1,,0,0,0,0,0,0,8.83333,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1700175536847,1,1010123456002,79,,1,0,50,1,1,,0,0,0,0,0,0,9,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1700175537097,1,1010123456002,79,,1,0,50,1,1,,0,0,0,0,0,0,9,,0,3,0,0.1,1,0,0,0,31,,0,0,,0,0,0,0
1700175537347,1,1010123456002,79,,1,0,50,1,1,,0,0,0,0,0,0,9,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1700175537598,1,1010123456002,79,,1,0,50,1,1,,0,0,0,0,0,0,9,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1700175537847,1,1010123456002,79,,1,0,50,1,1,,0,0,0,0,0,0,9,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1700175538097,1,1010123456002,79,,1,0,50,1,1,,0,0,0,0,0,0,9,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1700175538348,1,1010123456002,79,,1,0,50,1,1,,0,0,0,0,0,0,9,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1700175538597,1,1010123456002,79,,1,0,50,1,1,,0,0,0,0,0,0,8.83333,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1700175538848,1,1010123456002,79,,1,0,50,1,1,,0,0,0,0,0,0,9,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1700175539097,1,1010123456002,79,,1,0,50,1,1,,0,0,0,0,0,0,9,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1700175539347,1,1010123456002,79,,1,0,50,1,1,,0,0,0,0,0,0,9,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1700175539597,1,1010123456002,79,,1,0,50,1,1,,0,0,0,0,0,0,8.83333,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1700175539847,1,1010123456002,79,,1,0,50,1,1,,0,0,0,0,0,0,9,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1700175540097,1,1010123456002,79,,1,0,50,1,1,,0,0,0,0,0,0,8.83333,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1700175540347,1,1010123456002,79,,1,0,50,1,1,,0,0,0,0,0,0,9,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1700175540597,1,1010123456002,79,,1,0,50,1,1,,0,0,0,0,0,0,9,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1700175540847,1,1010123456002,79,,1,0,50,1,1,,0,0,0,0,0,0,9,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1700175541097,1,1010123456002,79,,1,0,50,1,1,,0,0,0,0,0,0,9,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1700175541347,1,1010123456002,79,,1,0,50,1,1,,0,0,0,0,0,0,8.85714,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1700175541598,1,1010123456002,79,,1,0,50,1,1,,15.7252,353,0,4.26206,99,0,9,,14.5315,111,0,1.13877,32,0,0,33.636,31,,2803,3973,,0,0,0,1
1700175541847,1,1010123456002,79,,1,0,50,1,1,,15.1595,370,0,4.14943,106,0,9,,12.8636,66,0,0.184482,19,0,0,36.4424,31,,2636,4095,,0,0,0,1
1700175542097,1,1010123456002,79,,1,0,50,1,1,,14.1867,150,0,1.22256,43,0,9,,14.2034,59,0,0.596832,17,0,0,34.1883,31,,703,1575,,0,0,0,1
1700175542348,1,1010123456002,79,,1,0,50,1,1,,16.5154,421,0,6.15952,117,0,8.85714,,14.7381,84,0,0.67488,24,0,0,34.6357,31,,4318,5366,,0,0,0,1
1700175542597,1,1010123456002,79,,1,0,50,1,1,,16.7585,443,0,6.69516,120,0,9,,13.8372,86,0,0.668241,25,0,0,34.773,31,,4914,5988,,0,0,0,1
1700175542847,1,1010123456002,79,,1,0,50,1,1,,15.596,99,0,1.06406,30,0,9,,12.3529,34,0,0.104,10,0,0,36.1131,31,,756,1195,,0,0,0,1
1700175543097,1,1010123456002,79,,1,0,50,1,1,,14.3394,330,0,3.112,92,0,8.66667,,13.6907,97,0,0.714496,28,0,0,34.9042,31,,2006,3113,,0,0,0,1
1700175543347,1,1010123456002,79,,1,0,50,1,1,,16.302,298,96517,3.77014,84,0,8.85714,,13.8954,86,0,0.666848,25,0,0,35.2369,31,,2963,3886,,0,0,0,1
1700175543597,1,1010123456002,79,,1,0,50,1,1,,16.1095,402,0,6.65751,120,0,9,,14.5217,69,0,0.659213,20,0,0,33.734,31,,4922,5432,,0,0,0,1
1700175543847,1,1010123456002,79,,1,0,50,1,1,,15.1408,348,0,3.49187,96,0,9,,13.4762,42,0,0.116224,12,0,0,36.5279,31,,2242,3637,,0,0,0,1
1700175544098,1,1010123456002,79,,1,0,50,1,1,,15.7945,326,1372,3.59805,88,0,8.83333,,14.2329,73,0,0.634336,21,0,0,34.2447,31,,2797,3983,,0,0,0,1
1700175544348,1,1010123456002,79,,1,0,50,1,1,,16.2015,546,2717,8.37078,158,0,8.85714,,14.4948,97,0,0.708928,28,0,0,34.8008,31,,5759,7376,,0,0,0,1
1700175544598,1,1010123456002,79,,1,0,50,1,1,,15.1566,166,0,1.62035,44,0,9,,13.0303,33,0,0.1,10,0,0,36.9771,31,,1021,1714,,0,0,0,1
1700175544848,1,1010123456002,79,,1,0,50,1,1,,15.2333,240,2004,2.7247,70,0,9,,12.1286,70,0,0.148864,20,0,0,36.3435,31,,1747,2819,,0,0,0,1
1700175545098,1,1010123456002,79,,1,0,50,1,1,,16.1768,509,17943,6.80064,140,0,8.83333,,13.28,100,0,0.714816,29,0,0,34.8736,31,,5440,6608,,0,0,0,1
1700175545347,1,1010123456002,79,,1,0,50,1,1,,16.5932,236,0,4.17642,75,0,8.85714,,12.9474,38,0,0.1,11,0,0,36.5242,31,,2774,3113,,0,0,0,1
1700175545597,1,1010123456002,79,,1,0,50,1,1,,16.873,63,0,1.00973,18,0,9,,11.1176,17,0,0.1,5,0,0,36.7022,31,,697,878,,0,0,0,1
1700175545847,1,1010123456002,79,,1,0,50,1,1,,14.5429,280,0,2.60163,80,0,9,,13.6897,87,0,0.656352,25,0,0,34.5181,31,,1603,2953,,0,0,0,1
1700175546097,1,1010123456002,79,,1,0,50,1,1,,15.5804,224,0,2.59306,64,0,8.66667,,13.8636,66,0,0.595695,19,0,0,34.3057,31,,1758,2455,,0,0,0,1
1700175546348,1,1010123456002,79,,1,0,50,1,1,,17.1092,522,158362,8.87649,142,0,8.85714,,13.4211,38,0,0.122486,11,0,0,36.0187,31,,7776,7865,,0,0,0,1
1700175546598,1,1010123456002,79,,1,0,50,1,1,,17.8505,582,72231,10.4612,164,0,9,,14.561,41,0,0.190144,12,0,0,35.3677,31,,8409,8584,,0,0,0,1
1700175546847,1,1010123456002,79,,1,0,50,1,1,,17.391,775,114967,14.0795,220,0,8.83333,,15.2063,63,0,0.670008,18,0,0,33.4236,31,,11620,11700,,0,0,0,1
1700175547098,1,1010123456002,79,,1,0,50,1,1,,16.8636,799,149383,13.7857,224,0,8.66667,,14.3947,38,0,0.144287,11,0,0,35.5091,31,,11868,11956,,0,0,0,1
1700175547347,1,1010123456002,79,,1,0,50,1,1,,17.5049,820,132753,15.0662,234,0,8.85714,,14.1204,108,0,0.746924,31,0,0,34.8709,31,,12500,12500,,0,0,0,1
1700175547597,1,1010123456002,79,,1,0,50,1,1,,17.8511,833,39393,15.456,235,0,8.83333,,13.0282,71,0,0.190876,21,0,0,36.0431,31,,12500,12500,,0,0,0,1
1700175547847,1,1010123456002,79,,1,0,50,1,1,,17.19,663,1401,11.5524,192,0,9,,14.6,80,0,0.690538,23,0,0,34.2635,31,,8985,9613,,0,0,0,1
1700175548098,1,1010123456002,79,,1,0,50,1,1,,15.4497,338,6252,4.01475,91,0,8.83333,,14.7975,79,0,0.711776,23,0,0,34.0364,31,,3049,4233,,0,0,0,1
1700175548348,1,1010123456002,79,,1,0,50,1,1,,14.3424,552,8921,7.39248,157,0,8.42857,,12.6087,69,0,0.159488,20,0,0,36.5338,31,,6511,7476,,0,0,0,1
1700175548598,1,1010123456002,79,,1,0,50,1,1,,15.5032,465,701,5.78579,132,0,9,,13.4468,94,0,0.641696,27,0,0,35.0969,31,,3675,5594,,0,0,0,1
1700175548848,1,1010123456002,79,,1,0,50,1,1,,16.2406,503,0,7.02938,144,0,8.83333,,13.4259,108,0,0.658464,31,0,0,35.3721,31,,4813,6205,,0,0,0,1
1700175549097,1,1010123456002,79,,1,0,50,1,1,,15.6367,256,0,3.12042,71,0,8.83333,,13.6667,78,0,0.630908,23,0,0,34.5932,31,,2608,3279,,0,0,0,1
1700175549347,1,1010123456002,79,,1,0,50,1,1,,17.4911,336,3127,5.78512,94,0,9,,15.2889,90,0,1.17741,26,0,0,32.8523,31,,4706,4937,,0,0,0,1
1700175549597,1,1010123456002,79,,1,0,50,1,1,,15.4082,267,4512,3.53062,79,0,8.83333,,13.9885,87,0,0.67056,25,0,0,34.6783,31,,2029,3241,,0,0,0,1
1700175549847,1,1010123456002,79,,1,0,50,1,1,,16.0418,502,7367,6.62416,142,0,9,,12.8571,77,0,0.201856,22,0,0,36.2797,31,,4424,6156,,0,0,0,1
1700175550097,1,1010123456002,79,,1,0,50,1,1,,15.9654,462,0,6.18237,132,0,9,,12.7377,122,16507,0.651808,35,0,0,35.6717,31,,3927,5591,,0,0,0,1
1700175550348,1,1010123456002,79,,1,0,50,1,1,,16.3787,367,80,4.71315,99,0,8.85714,,14.6232,69,0,0.650008,20,0,0,34.0373,31,,3629,4403,,0,0,0,1
1700175550597,1,1010123456002,79,,1,0,50,1,1,,16.1551,535,0,7.77298,154,0,8.83333,,14.3256,129,0,1.26702,37,0,0,33.9933,31,,5780,6901,,0,0,0,1
1700175550848,1,1010123456002,79,,1,0,50,1,1,,16.8015,398,29808,5.33635,109,0,9,,12.0959,73,0,0.134024,21,0,0,36.7406,31,,4274,5129,,0,0,0,1
1700175551097,1,1010123456002,79,,1,0,50,1,1,,16.8804,510,703,7.82529,148,0,9,,14.4844,128,0,1.35341,37,0,0,33.733,31,,5043,6424,,0,0,0,1
1700175551347,1,1010123456002,79,,1,0,50,1,1,,15.788,217,0,2.96816,62,0,9,,12.5102,49,0,0.115136,14,0,0,36.7589,31,,2024,2769,,0,0,0,1
1700175551597,1,1010123456002,79,,1,0,50,1,1,,14.1947,113,0,1.02694,32,0,9,,12.4737,38,0,0.102368,11,0,0,36.2937,31,,613,1202,,0,0,0,1
1700175551847,1,1010123456002,79,,1,0,50,1,1,,14.3175,126,0,1.21466,36,0,9,,11.4737,38,0,0.1,11,0,0,36.82,31,,731,1359,,0,0,0,1
1700175552097,1,1010123456002,79,,1,0,50,1,1,,16.6778,329,0,4.83642,93,0,9,,15.3019,106,0,1.29546,31,0,0,33.2409,31,,3588,4194,,0,0,0,1
1700175552347,1,1010123456002,79,,1,0,50,1,1,,14.0207,290,0,2.52418,82,0,9,,11.8986,69,0,0.113863,20,0,0,36.8763,31,,1401,2978,,0,0,0,1
1700175552597,1,1010123456002,79,,1,0,50,1,1,,16.4688,32,0,0.485108,9,0,9,,12.5,20,0,0.1,6,0,0,36.2931,31,,391,510,,0,0,0,1
1700175552848,1,1010123456002,79,,1,0,50,1,1,,15.5261,422,0,4.95602,119,0,8.83333,,12.1864,59,0,0.11643,17,0,0,36.5634,31,,3502,4887,,0,0,0,1
1700175553098,1,1010123456002,79,,1,0,50,1,1,,15.2848,151,11240,1.20435,37,0,9,,12.2683,41,0,0.103424,12,0,0,36.5857,31,,1052,1628,,0,0,0,1
1700175553347,1,1010123456002,79,,1,0,50,1,1,,16.2046,259,0,3.52476,74,0,8.85714,,13.6857,35,0,0.107759,10,0,0,36.648,31,,2350,3074,,0,0,0,1
1700175553597,1,1010123456002,79,,1,0,50,1,1,,16.3208,399,0,5.83872,119,0,9,,13.6667,69,0,0.17472,20,0,0,35.8823,31,,3877,4873,,0,0,0,1
1700175553847,1,1010123456002,79,,1,0,50,1,1,,14.9776,312,0,3.18723,85,0,9,,13.7922,77,0,0.648704,22,0,0,34.3899,31,,2109,3393,,0,0,0,1
1700175554097,1,1010123456002,79,,1,0,50,1,1,,14.375,160,1651,1.69197,46,0,8.83333,,13.2703,37,0,0.113376,11,0,0,35.965,31,,1012,1709,,0,0,0,1
1700175554347,1,1010123456002,79,,1,0,50,1,1,,14.7367,300,0,2.99338,85,0,9,,12.0571,70,0,0.135454,20,0,0,36.7522,31,,1967,3167,,0,0,0,1
1700175554597,1,1010123456002,79,,1,0,50,1,1,,15.1844,244,0,2.6369,72,0,9,,11.6957,69,0,0.14016,20,0,0,36.7811,31,,1752,2699,,0,0,0,1
1700175554847,1,1010123456002,79,,1,0,50,1,1,,15.1747,229,0,2.34503,61,0,9,,14.5479,73,0,0.666699,21,0,0,34.5301,31,,1711,2538,,0,0,0,1
1700175555097,1,1010123456002,79,,1,0,50,1,1,,14.8283,99,0,0.96392,29,0,9,,12.2571,35,0,0.1,10,0,0,36.5075,31,,526,1003,,0,0,0,1
1700175555347,1,1010123456002,79,,1,0,50,1,1,,14.9265,422,717,4.6445,117,0,8.71429,,13.4158,101,148092,0.662329,29,0,0,35.1103,31,,3446,4803,,0,0,0,1
1700175555597,1,1010123456002,79,,1,0,50,1,1,,14.1898,353,0,3.60144,101,0,8.83333,,14.9252,107,0,1.20534,31,0,0,33.5168,31,,2125,3843,,0,0,0,1
1700175555847,1,1010123456002,79,,1,0,50,1,1,,14.751,253,0,2.49456,73,0,9,,13.913,46,0,0.154336,13,0,0,35.6957,31,,1439,2612,,0,0,0,1
1700175556097,1,1010123456002,79,,1,0,50,1,1,,14.2273,66,0,0.493312,18,0,9,,12.1429,28,0,0.1,8,0,0,36.969,31,,300,663,,0,0,0,1
1700175556347,1,1010123456002,79,,1,0,50,1,1,,15.717,159,0,1.76864,43,0,9,,13.4,35,0,0.1,10,0,0,36.7065,31,,1248,1836,,0,0,0,1
