Timestamp,num_ues,IMSI,RNTI,,slicing_enabled,slice_id,slice_prb,power_multiplier,scheduling_policy,,dl_mcs,dl_n_samples,dl_buffer [bytes],tx_brate downlink [Mbps],tx_pkts downlink,tx_errors downlink (%),dl_cqi,,ul_mcs,ul_n_samples,ul_buffer [bytes],rx_brate uplink [Mbps],rx_pkts uplink,rx_errors uplink (%),ul_rssi,ul_sinr,phr,,sum_requested_prbs,sum_granted_prbs,,dl_pmi,dl_ri,ul_n,ul_turbo_iters
1700197873347,1,1010123456002,134,,1,0,50,1,1,,0,0,0,0,0,0,9,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1700197873598,1,1010123456002,134,,1,0,50,1,1,,0,0,0,0,0,0,9,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1700197873848,1,1010123456002,134,,1,0,50,1,1,,0,0,0,0,0,0,9,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1700197874098,1,1010123456002,134,,1,0,50,1,1,,0,0,0,0,0,0,9,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1700197874348,1,1010123456002,134,,1,0,50,1,1,,0,0,0,0,0,0,9,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1700197874598,1,1010123456002,134,,1,0,50,1,1,,0,0,0,0,0,0,9,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1700197874848,1,1010123456002,134,,1,0,50,1,1,,0,0,0,0,0,0,8.85714,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1700197875098,1,1010123456002,134,,1,0,50,1,1,,0,0,0,0,0,0,9,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1700197875348,1,1010123456002,134,,1,0,50,1,1,,0,0,0,0,0,0,9,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1700197875598,1,1010123456002,134,,1,0,50,1,1,,0,0,0,0,0,0,8.83333,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1700197875848,1,1010123456002,134,,1,0,50,1,1,,0,0,0,0,0,0,9,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1700197876097,1,1010123456002,134,,1,0,50,1,1,,0,0,0,0,0,0,9,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1700197876348,1,1010123456002,134,,1,0,50,1,1,,0,0,0,0,0,0,9,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1700197876598,1,1010123456002,134,,1,0,50,1,1,,0,0,0,0,0,0,9,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1700197876848,1,1010123456002,134,,1,0,50,1,1,,0,0,0,0,0,0,9,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1700197877098,1,1010123456002,134,,1,0,50,1,1,,0,0,0,0,0,0,9,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1700197877347,1,1010123456002,134,,1,0,50,1,1,,0,0,0,0,0,0,9,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1700197877598,1,1010123456002,134,,1,0,50,1,1,,0,0,0,0,0,0,9,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1700197877847,1,1010123456002,134,,1,0,50,1,1,,0,0,0,0,0,0,9,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1700197878097,1,1010123456002,134,,1,0,50,1,1,,0,0,0,0,0,0,9,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1700197878348,1,1010123456002,134,,1,0,50,1,1,,0,0,0,0,0,0,9,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1700197878598,1,1010123456002,134,,1,0,50,1,1,,0,0,0,0,0,0,8.83333,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1700197878848,1,1010123456002,134,,1,0,50,1,1,,0,0,0,0,0,0,9,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1700197879098,1,1010123456002,134,,1,0,50,1,1,,0,0,0,0,0,0,9,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1700197879347,1,1010123456002,134,,1,0,50,1,1,,0,0,0,0,0,0,8.83333,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1700197879597,1,1010123456002,134,,1,0,50,1,1,,0,0,0,0,0,0,8.83333,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1700197879847,1,1010123456002,134,,1,0,50,1,1,,0,0,0,0,0,0,9,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1700197880098,1,1010123456002,134,,1,0,50,1,1,,0,0,0,0,0,0,8.83333,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1700197880348,1,1010123456002,134,,1,0,50,1,1,,0,0,0,0,0,0,9,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1700197880598,1,1010123456002,134,,1,0,50,1,1,,0,0,0,0,0,0,8.83333,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1700197880848,1,1010123456002,134,,1,0,50,1,1,,0,0,0,0,0,0,9,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1700197881098,1,1010123456002,134,,1,0,50,1,1,,0,0,0,0,0,0,9,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1700197881348,1,1010123456002,134,,1,0,50,1,1,,0,0,0,0,0,0,9,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1700197881597,1,1010123456002,134,,1,0,50,1,1,,0,0,0,0,0,0,9,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1700197881847,1,1010123456002,134,,1,0,50,1,1,,0,0,0,0,0,0,9,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1700197882097,1,1010123456002,134,,1,0,50,1,1,,0,0,0,0,0,0,9,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1700197882347,1,1010123456002,134,,1,0,50,1,1,,0,0,0,0,0,0,9,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1700197882598,1,1010123456002,134,,1,0,50,1,1,,0,0,0,0,0,0,9,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1700197882848,1,1010123456002,134,,1,0,50,1,1,,0,0,0,0,0,0,9,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1700197883098,1,1010123456002,134,,1,0,50,1,1,,0,0,0,0,0,0,9,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1700197883348,1,1010123456002,134,,1,0,50,1,1,,0,0,0,0,0,0,9,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1700197883598,1,1010123456002,134,,1,0,50,1,1,,0,0,0,0,0,0,9,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1700197883847,1,1010123456002,134,,1,0,50,1,1,,0,0,0,0,0,0,8.85714,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1700197884097,1,1010123456002,134,,1,0,50,1,1,,0,0,0,0,0,0,9,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1700197884347,1,1010123456002,134,,1,0,50,1,1,,0,0,0,0,0,0,9,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1700197884597,1,1010123456002,134,,1,0,50,1,1,,12,4,0,0.00234538,1,0,9,,12.1429,7,0,0.1,2,0,0,35.5266,31,,3,3,,0,0,0,1
1700197884848,1,1010123456002,134,,1,0,50,1,1,,0,0,0,0,0,0,9,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1700197885098,1,1010123456002,134,,1,0,50,1,1,,0,0,0,0,0,0,9,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1700197885348,1,1010123456002,134,,1,0,50,1,1,,0,0,0,0,0,0,8.83333,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1700197885598,1,1010123456002,134,,1,0,50,1,1,,0,0,0,0,0,0,9,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1700197885848,1,1010123456002,134,,1,0,50,1,1,,0,0,0,0,0,0,9,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1700197886097,1,1010123456002,134,,1,0,50,1,1,,0,0,0,0,0,0,9,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1700197886347,1,1010123456002,134,,1,0,50,1,1,,0,12,0,0.007008,3,0,9,,13.2857,14,0,0.1,4,0,0,36.2781,31,,14,59,,0,0,0,1
1700197886597,1,1010123456002,134,,1,0,50,1,1,,12.2,25,0,0.031232,8,0,9,,14.1429,28,0,0.1,8,0,0,35.7105,31,,27,27,,0,0,0,1
1700197886848,1,1010123456002,134,,1,0,50,1,1,,13.3871,31,0,0.1064,9,0,9,,14.2879,66,0,0.639776,19,0,0,34.0387,31,,70,104,,0,0,0,1
1700197887098,1,1010123456002,134,,1,0,50,1,1,,12,4,0,0.002336,1,0,9,,11.8571,14,0,0.1,4,0,0,36.5974,31,,3,3,,0,0,0,1
1700197887348,1,1010123456002,134,,1,0,50,1,1,,0,6,0,0.01376,2,0,9,,12.1429,7,0,0.1,2,0,0,36.3482,31,,7,53,,0,0,0,1
1700197887598,1,1010123456002,134,,1,0,50,1,1,,10,12,0,0.066336,2,0,9,,13.3333,24,0,0.118496,7,0,0,34.8802,31,,25,103,,0,0,0,1
1700197887848,1,1010123456002,134,,1,0,50,1,1,,7.38462,26,0,0.067968,8,0,9,,13.9444,36,0,0.218752,11,0,0,35.0544,31,,29,209,,0,0,0,1
1700197888097,1,1010123456002,134,,1,0,50,1,1,,13.7222,90,0,0.229333,24,0,9,,14.5,50,0,0.345928,15,0,0,34.5392,31,,177,331,,0,0,0,1
1700197888347,1,1010123456002,134,,1,0,50,1,1,,11.75,64,0,0.107438,19,0,9,,15.1881,101,137025,1.25202,29,0,0,32.9057,31,,63,151,,0,0,0,1
1700197888597,1,1010123456002,134,,1,0,50,1,1,,10.1905,42,0,0.120129,11,0,8.83333,,15.4419,86,0,1.1857,25,0,0,32.5489,31,,83,289,,0,0,0,1
1700197888848,1,1010123456002,134,,1,0,50,1,1,,12.6714,140,0,1.0368,41,0,9,,14.9524,63,0,0.649216,18,0,0,33.326,31,,499,1265,,0,0,0,1
1700197889098,1,1010123456002,134,,1,0,50,1,1,,13.0135,222,0,1.8847,63,0,8.83333,,15.1475,61,0,0.657792,18,0,0,33.5494,31,,831,2235,,0,0,0,1
1700197889348,1,1010123456002,134,,1,0,50,1,1,,14.2756,156,2341,1.41533,42,0,9,,13.5476,42,0,0.119936,12,0,0,35.7368,31,,781,1643,,0,0,0,1
1700197889598,1,1010123456002,134,,1,0,50,1,1,,14.602,98,0,1.25219,29,0,9,,14.8983,59,135117,0.619872,17,0,0,33.7176,31,,655,1170,,0,0,0,1
1700197889848,1,1010123456002,134,,1,0,50,1,1,,16.1711,152,0,2.2905,43,0,8.85714,,15.1509,53,0,0.600224,15,0,0,33.3629,31,,1657,2096,,0,0,0,1
1700197890098,1,1010123456002,134,,1,0,50,1,1,,13.5414,157,0,1.32458,45,0,9,,13.6818,44,0,0.1512,13,0,0,36.4158,31,,550,1505,,0,0,0,1
1700197890347,1,1010123456002,134,,1,0,50,1,1,,13.5948,153,0,1.08877,43,0,9,,14.9857,70,137025,0.697221,20,0,0,33.5682,31,,577,1373,,0,0,0,1
1700197890597,1,1010123456002,134,,1,0,50,1,1,,12.5088,171,0,1.23011,46,0,9,,15.0303,66,0,0.684416,19,0,0,33.7858,31,,584,1883,,0,0,0,1
1700197890847,1,1010123456002,134,,1,0,50,1,1,,12.5741,162,0,1.29622,45,0,9,,13.0769,52,0,0.152514,15,0,0,36.1153,31,,669,1743,,0,0,0,1
1700197891097,1,1010123456002,134,,1,0,50,1,1,,12.9437,142,0,1.20426,43,0,9,,15.5299,117,0,1.55354,34,0,0,32.6366,31,,570,1421,,0,0,0,1
1700197891348,1,1010123456002,134,,1,0,50,1,1,,13.1901,142,0,1.13853,38,0,9,,15.6527,167,0,2.41798,48,0,0,32.2681,31,,560,1590,,0,0,0,1
1700197891598,1,1010123456002,134,,1,0,50,1,1,,12.0988,81,0,0.70064,24,0,9,,15.8224,152,0,2.35978,44,0,0,32.0429,31,,309,984,,0,0,0,1
1700197891848,1,1010123456002,134,,1,0,50,1,1,,13.1278,133,154,1.14573,36,0,8.85714,,15.8,155,0,2.34416,45,0,0,32.1398,31,,684,1442,,0,0,0,1
1700197892098,1,1010123456002,134,,1,0,50,1,1,,13.7415,236,4,1.89603,67,0,9,,15.75,124,0,1.82774,36,0,0,32.2393,31,,1149,2188,,0,0,0,1
1700197892348,1,1010123456002,134,,1,0,50,1,1,,13.2927,164,0,1.05206,46,0,9,,15.6864,118,0,1.78557,34,0,0,32.1484,31,,520,1451,,0,0,0,1
1700197892598,1,1010123456002,134,,1,0,50,1,1,,13.0845,142,0,0.937696,39,0,9,,15.8017,121,0,1.81418,35,0,0,32.1612,31,,409,1349,,0,0,0,1
1700197892847,1,1010123456002,134,,1,0,50,1,1,,12.835,103,0,0.44543,32,0,9,,15.8065,124,0,1.91968,36,0,0,32.0672,31,,209,737,,0,0,0,1
1700197893097,1,1010123456002,134,,1,0,50,1,1,,12.5338,133,1091,0.510137,35,0,8.83333,,15.7421,159,0,2.34307,46,0,0,32.1364,31,,288,865,,0,0,0,1
1700197893347,1,1010123456002,134,,1,0,50,1,1,,13.1118,152,0,0.963213,44,0,8.83333,,15.4632,136,0,1.87746,39,0,0,32.3449,31,,453,1406,,0,0,0,1
1700197893598,1,1010123456002,134,,1,0,50,1,1,,12.7872,141,0,1.01104,39,0,9,,14.819,105,0,1.11824,30,0,0,33.3912,31,,471,1502,,0,0,0,1
1700197893848,1,1010123456002,134,,1,0,50,1,1,,14.2389,113,0,0.980704,31,0,9,,15.8516,155,0,2.42032,45,0,0,31.9314,31,,664,1258,,0,0,0,1
1700197894098,1,1010123456002,134,,1,0,50,1,1,,13.0738,149,0,1.01459,42,0,9,,15.7452,208,0,3.07158,60,0,0,32.1871,31,,489,1480,,0,0,0,1
1700197894348,1,1010123456002,134,,1,0,50,1,1,,12.1698,106,0,0.691392,31,0,8.83333,,15.587,138,0,1.90259,40,0,0,32.5258,31,,265,963,,0,0,0,1
1700197894598,1,1010123456002,134,,1,0,50,1,1,,12.4551,156,0,1.16406,43,0,8.83333,,15.7344,128,0,1.92144,37,0,0,31.9784,31,,518,1559,,0,0,0,1
1700197894847,1,1010123456002,134,,1,0,50,1,1,,12.451,102,0,0.653912,31,0,9,,15.1373,51,0,0.431518,15,0,0,33.6182,31,,247,807,,0,0,0,1
1700197895097,1,1010123456002,134,,1,0,50,1,1,,12.2093,86,0,0.228402,23,0,8.66667,,15.4239,184,0,2.40498,53,0,0,32.7389,31,,134,475,,0,0,0,1
1700197895348,1,1010123456002,134,,1,0,50,1,1,,10.6526,95,0,0.48688,28,0,9,,15.5734,143,137025,1.92592,41,0,0,32.6515,31,,199,848,,0,0,0,1
1700197895598,1,1010123456002,134,,1,0,50,1,1,,11.8409,88,0,0.401856,24,0,9,,15.5631,103,0,1.29491,30,0,0,32.9535,31,,170,628,,0,0,0,1
1700197895848,1,1010123456002,134,,1,0,50,1,1,,11.6111,126,0,0.367072,35,0,9,,15.688,125,0,1.84013,36,0,0,32.1074,31,,218,776,,0,0,0,1
1700197896098,1,1010123456002,134,,1,0,50,1,1,,11.3824,68,0,0.316,19,0,8.83333,,15.7099,131,0,1.87507,38,0,0,32.2489,31,,177,678,,0,0,0,1
1700197896348,1,1010123456002,134,,1,0,50,1,1,,10.9065,107,0,0.40928,33,0,9,,15.3267,101,0,1.28227,29,0,0,32.6021,31,,186,746,,0,0,0,1
1700197896598,1,1010123456002,134,,1,0,50,1,1,,13.5678,118,0,0.252352,30,0,9,,15.6855,124,0,1.79008,36,0,0,32.2597,31,,225,609,,0,0,0,1
1700197896848,1,1010123456002,134,,1,0,50,1,1,,11.6038,106,0,0.477088,31,0,9,,15.7769,130,0,1.87866,38,0,0,32.3694,31,,190,781,,0,0,0,1
1700197897097,1,1010123456002,134,,1,0,50,1,1,,10.4111,90,229,0.359904,28,0,8.83333,,15.2923,65,0,0.747277,19,0,0,33.2716,31,,176,778,,0,0,0,1
1700197897347,1,1010123456002,134,,1,0,50,1,1,,11.4844,128,0,0.40906,36,0,9,,15.6047,129,0,1.80668,37,0,0,32.5451,31,,209,808,,0,0,0,1
1700197897597,1,1010123456002,134,,1,0,50,1,1,,11.5269,93,0,0.411213,23,0,8.83333,,15.4154,65,0,0.737574,19,0,0,33.2057,31,,201,757,,0,0,0,1
1700197897848,1,1010123456002,134,,1,0,50,1,1,,11.972,107,0,0.651072,32,0,9,,15.5192,52,0,0.652,15,0,0,32.8764,31,,252,875,,0,0,0,1
1700197898098,1,1010123456002,134,,1,0,50,1,1,,11.4433,97,0,0.574368,27,0,9,,14.697,66,0,0.669024,19,0,0,33.7893,31,,243,916,,0,0,0,1
1700197898348,1,1010123456002,134,,1,0,50,1,1,,12.3723,94,0,0.542464,28,0,8.83333,,15.1538,65,0,0.694752,19,0,0,33.5485,31,,232,760,,0,0,0,1
1700197898598,1,1010123456002,134,,1,0,50,1,1,,11.5714,105,0,0.493152,29,0,9,,15.6444,90,0,1.23731,26,0,0,32.4057,31,,232,799,,0,0,0,1
1700197898848,1,1010123456002,134,,1,0,50,1,1,,11.4182,55,0,0.19792,15,0,8.71429,,15.2059,68,0,0.7656,20,0,0,33.0108,31,,86,383,,0,0,0,1
1700197899097,1,1010123456002,134,,1,0,50,1,1,,10.9727,110,0,0.494394,31,0,9,,15.5859,99,0,1.30496,29,0,0,32.7452,31,,230,937,,0,0,0,1
1700197899347,1,1010123456002,134,,1,0,50,1,1,,10.972,107,0,0.348273,30,0,9,,15.5,94,0,1.29446,27,0,0,32.5048,31,,173,731,,0,0,0,1
1700197899598,1,1010123456002,134,,1,0,50,1,1,,11.1949,118,0,0.344096,31,0,9,,15.7686,121,0,1.81309,35,0,0,32.1569,31,,192,805,,0,0,0,1
1700197899848,1,1010123456002,134,,1,0,50,1,1,,10.3733,75,0,0.257568,20,0,9,,15.6909,55,0,0.748192,16,0,0,32.6949,31,,132,548,,0,0,0,1
1700197900098,1,1010123456002,134,,1,0,50,1,1,,10.1688,77,0,0.424608,25,0,9,,14.3684,38,0,0.15728,11,0,0,35.4962,31,,169,719,,0,0,0,1
1700197900348,1,1010123456002,134,,1,0,50,1,1,,10.3647,85,0,0.36,25,0,9,,13.5,32,0,0.107552,9,0,0,35.6913,31,,143,639,,0,0,0,1
1700197900598,1,1010123456002,134,,1,0,50,1,1,,12.28,100,0,0.345888,29,0,9,,15.6,45,0,0.638784,13,0,0,32.3691,31,,179,608,,0,0,0,1
1700197900848,1,1010123456002,134,,1,0,50,1,1,,11.7885,104,0,0.404512,30,0,9,,15.5862,87,0,1.20566,25,0,0,32.6761,31,,210,758,,0,0,0,1
1700197901098,1,1010123456002,134,,1,0,50,1,1,,11.3739,115,0,0.382144,33,0,9,,15.694,134,0,1.83235,39,0,0,32.576,31,,203,711,,0,0,0,1
1700197901347,1,1010123456002,134,,1,0,50,1,1,,10.7717,92,0,0.367904,27,0,9,,15.2816,103,0,1.24871,30,0,0,33.0522,31,,160,654,,0,0,0,1
1700197901597,1,1010123456002,134,,1,0,50,1,1,,11.3364,107,0,0.359614,29,0,9,,15.3654,104,0,1.24588,30,0,0,33.0997,31,,181,637,,0,0,0,1
1700197901848,1,1010123456002,134,,1,0,50,1,1,,12.6852,108,0,0.391808,32,0,9,,15.5667,90,0,1.20627,26,0,0,32.7333,31,,188,687,,0,0,0,1
1700197902098,1,1010123456002,134,,1,0,50,1,1,,12.4,100,0,0.312768,28,0,9,,15.3883,103,0,1.25875,30,0,0,33.1605,31,,174,661,,0,0,0,1
1700197902348,1,1010123456002,134,,1,0,50,1,1,,12.5246,122,0,0.451776,34,0,9,,14.6207,87,0,0.73936,25,0,0,34.2765,31,,225,970,,0,0,0,1
1700197902598,1,1010123456002,134,,1,0,50,1,1,,12.566,106,0,0.410432,28,0,9,,15.5104,96,0,1.23206,28,0,0,32.8708,31,,207,746,,0,0,0,1
1700197902848,1,1010123456002,134,,1,0,50,1,1,,11.3091,55,0,0.384864,18,0,8.85714,,15.6094,128,0,1.76304,37,0,0,32.7033,31,,183,592,,0,0,0,1
1700197903098,1,1010123456002,134,,1,0,50,1,1,,11.6496,117,0,0.46144,33,0,9,,15.6258,163,0,2.35994,47,0,0,32.281,31,,218,787,,0,0,0,1
1700197903348,1,1010123456002,134,,1,0,50,1,1,,12.3846,65,0,0.361536,19,0,9,,15.4653,101,0,1.24726,29,0,0,32.8879,31,,171,581,,0,0,0,1
1700197903597,1,1010123456002,134,,1,0,50,1,1,,11.6526,95,0,0.487582,27,0,8.83333,,15.3455,110,0,1.33783,32,0,0,33.2109,31,,195,704,,0,0,0,1
1700197903848,1,1010123456002,134,,1,0,50,1,1,,12.3894,113,0,0.452367,31,0,9,,15.3741,139,0,1.76542,40,0,0,32.5927,31,,216,731,,0,0,0,1
1700197904098,1,1010123456002,134,,1,0,50,1,1,,13.6074,135,0,0.427264,40,0,9,,15.5185,135,0,1.8113,39,0,0,32.7219,31,,230,644,,0,0,0,1
1700197904348,1,1010123456002,134,,1,0,50,1,1,,11.5294,85,0,0.416192,24,0,8.83333,,15.3942,104,0,1.24928,30,0,0,33.112,31,,171,598,,0,0,0,1
1700197904598,1,1010123456002,134,,1,0,50,1,1,,14.4082,49,9,0.45136,12,0,9,,14.6867,83,0,0.706624,24,0,0,34.4297,31,,246,507,,0,0,0,1
1700197904848,1,1010123456002,134,,1,0,50,1,1,,11.8588,85,0,0.43744,26,0,9,,15.55,100,0,1.27338,29,0,0,32.6357,31,,187,592,,0,0,0,1
1700197905098,1,1010123456002,134,,1,0,50,1,1,,13.5918,49,0,0.422912,14,0,9,,14.6386,83,0,0.723904,24,0,0,34.5464,31,,260,451,,0,0,0,1
1700197905348,1,1010123456002,134,,1,0,50,1,1,,11.8529,102,0,0.445248,28,0,9,,14.0962,52,0,0.225632,15,0,0,35.8159,31,,192,707,,0,0,0,1
